X,geneID,transcriptID,transcriptName,classification,hybrid,rownum,chr,start,stop,strand,method,type
424639,ENSG00000239408,ENST00000490852,ENST00000490852,single_exon,none,424639,chr3,149464839,149465201,-,HAVANA,exon
424656,ENSG00000244503,ENST00000492880,ENST00000492880,single_exon,none,424656,chr3,149494660,149495995,+,HAVANA,exon
424727,ENSG00000252581,ENST00000516772,RNU6-1098P-201,single_exon,none,424727,chr3,149525631,149525726,+,ENSEMBL,exon
424827,ENSG00000251854,ENST00000516045,RNU6-507P-201,single_exon,none,424827,chr3,149779009,149779108,-,ENSEMBL,exon
424956,ENSG00000252172,ENST00000516363,RNU6-720P-201,single_exon,none,424956,chr3,149917342,149917449,-,ENSEMBL,exon
424959,ENSG00000239351,ENST00000483112,NPM1P29-201,single_exon,none,424959,chr3,149938997,149939799,-,HAVANA,exon
425042,ENSG00000224831,ENST00000463122,TMEM183BP-201,single_exon,none,425042,chr3,149982181,149983308,-,HAVANA,exon
425045,ENSG00000182000,ENST00000487390,PPIAP73-201,single_exon,none,425045,chr3,149984395,149984797,+,HAVANA,exon
425048,ENSG00000241947,ENST00000476029,HNRNPA1P24-201,single_exon,none,425048,chr3,149999645,150000690,+,HAVANA,exon
425064,ENSG00000240477,ENST00000466044,ENST00000466044,single_exon,none,425064,chr3,150050729,150051456,+,HAVANA,exon
425071,ENSG00000241143,ENST00000487963,RPL32P9-201,single_exon,none,425071,chr3,150150538,150150944,+,HAVANA,exon
425103,ENSG00000278234,ENST00000622185,U2.18-201,single_exon,none,425103,chr3,150241777,150241860,+,ENSEMBL,exon
425124,ENSG00000289086,ENST00000693574,ENST00000693574,single_exon,none,425124,chr3,150370258,150370863,+,HAVANA,exon
425373,ENSG00000271711,ENST00000604339,ENST00000604339,single_exon,none,425373,chr3,150611262,150611877,-,HAVANA,exon
425493,ENSG00000289005,ENST00000693001,ENST00000693001,single_exon,none,425493,chr3,150763573,150764567,+,HAVANA,exon
425598,ENSG00000276055,ENST00000615643,ENST00000615643,single_exon,none,425598,chr3,151079506,151079584,+,ENSEMBL,exon
425873,ENSG00000199994,ENST00000363124,RNA5SP145-201,single_exon,none,425873,chr3,151188099,151188223,+,ENSEMBL,exon
425880,ENSG00000174946,ENST00000617554,GPR171-203,single_exon,HFE,425880,chr3,151198427,151199386,-,ENSEMBL,exon
425900,ENSG00000239570,ENST00000473027,SETP11-201,single_exon,none,425900,chr3,151269440,151270129,+,HAVANA,exon
425907,ENSG00000138271,ENST00000629077,GPR87-202,single_exon,HFE,425907,chr3,151294086,151295284,-,HAVANA,exon
425948,ENSG00000242810,ENST00000486397,MRPL42P6-201,single_exon,none,425948,chr3,151475804,151476174,-,HAVANA,exon
425951,ENSG00000242119,ENST00000491120,ENST00000491120,single_exon,none,425951,chr3,151499639,151499806,+,HAVANA,exon
425954,ENSG00000264330,ENST00000577504,MIR5186-201,single_exon,none,425954,chr3,151565876,151565995,-,ENSEMBL,exon
425986,ENSG00000242097,ENST00000489539,ENST00000489539,single_exon,none,425986,chr3,151759747,151762011,-,HAVANA,exon
426053,ENSG00000289315,ENST00000684841,ENST00000684841,single_exon,none,426053,chr3,152204732,152205457,-,HAVANA,exon
426252,ENSG00000221962,ENST00000639378,TMEM14EP-202,single_exon,none,426252,chr3,152339695,152340990,-,HAVANA,exon
426254,ENSG00000221962,ENST00000408960,TMEM14EP-201,single_exon,none,426254,chr3,152340527,152340904,-,HAVANA,exon
426257,ENSG00000201217,ENST00000364347,Y_RNA.229-201,single_exon,none,426257,chr3,152449272,152449384,+,ENSEMBL,exon
426282,ENSG00000242561,ENST00000483050,ATP5MGP5-201,single_exon,none,426282,chr3,152800434,152800732,-,HAVANA,exon
426285,ENSG00000169860,ENST00000305097,P2RY1-201,single_exon,none,426285,chr3,152835131,152841439,+,HAVANA,exon
426288,ENSG00000241810,ENST00000476476,HMGN2P13-201,single_exon,none,426288,chr3,153067278,153067551,+,HAVANA,exon
426291,ENSG00000241671,ENST00000477323,ENST00000477323,single_exon,none,426291,chr3,153129074,153129640,-,HAVANA,exon
426302,ENSG00000289885,ENST00000701348,ENST00000701348,single_exon,none,426302,chr3,153161419,153162036,+,HAVANA,exon
426305,ENSG00000181467,ENST00000323534,RAP2B-201,single_exon,none,426305,chr3,153162226,153170627,+,HAVANA,exon
426308,ENSG00000265813,ENST00000582522,RN7SL300P-201,single_exon,none,426308,chr3,153199700,153200017,-,ENSEMBL,exon
426311,ENSG00000290079,ENST00000702860,ENST00000702860,single_exon,none,426311,chr3,153221049,153221842,-,HAVANA,exon
426354,ENSG00000207323,ENST00000384593,RNU6-901P-201,single_exon,none,426354,chr3,153471466,153471571,-,ENSEMBL,exon
426357,ENSG00000200162,ENST00000363292,Y_RNA.116-201,single_exon,none,426357,chr3,153607377,153607479,+,ENSEMBL,exon
426368,ENSG00000201398,ENST00000364528,U8.5-201,single_exon,none,426368,chr3,154007367,154007502,-,ENSEMBL,exon
426371,ENSG00000240068,ENST00000488408,RPL21P42-201,single_exon,none,426371,chr3,154023835,154024298,+,HAVANA,exon
426447,ENSG00000243069,ENST00000687992,ARHGEF26-AS1-217,single_exon,HFE,426447,chr3,154119037,154121275,-,HAVANA,exon
426653,ENSG00000271922,ENST00000607291,ENST00000607291,single_exon,none,426653,chr3,154329716,154329819,+,ENSEMBL,exon
426656,ENSG00000279305,ENST00000623249,ENST00000623249,single_exon,none,426656,chr3,154334809,154337047,-,HAVANA,exon
426673,ENSG00000243154,ENST00000473622,SYPL1P1-201,single_exon,none,426673,chr3,154651656,154652423,-,HAVANA,exon
426676,ENSG00000242151,ENST00000467158,DYNLL1P5-201,single_exon,none,426676,chr3,154657294,154657563,+,HAVANA,exon
426679,ENSG00000240601,ENST00000491096,RPL9P15-201,single_exon,none,426679,chr3,154676588,154677119,-,HAVANA,exon
427033,ENSG00000239443,ENST00000464731,PABPC1P10-201,single_exon,none,427033,chr3,155309427,155309807,-,HAVANA,exon
427164,ENSG00000248772,ENST00000513484,ENST00000513484,single_exon,none,427164,chr3,155375683,155375790,-,HAVANA,exon
427176,ENSG00000272096,ENST00000606972,RN7SL715P-201,single_exon,none,427176,chr3,155437538,155437823,-,ENSEMBL,exon
427187,ENSG00000239212,ENST00000488873,RPL6P7-201,single_exon,none,427187,chr3,155657760,155658612,+,HAVANA,exon
427190,ENSG00000214919,ENST00000399242,ENST00000399242,single_exon,none,427190,chr3,155742142,155743726,-,HAVANA,exon
427193,ENSG00000241307,ENST00000469035,RPL7AP24-201,single_exon,none,427193,chr3,155760617,155761217,+,HAVANA,exon
427306,ENSG00000286585,ENST00000701220,ENST00000701220,single_exon,none,427306,chr3,155854761,155855022,+,HAVANA,exon
427364,ENSG00000240489,ENST00000497538,SETP14-201,single_exon,none,427364,chr3,155987304,155988176,+,HAVANA,exon
427542,ENSG00000242017,ENST00000482834,ALG1L15P-201,single_exon,none,427542,chr3,156044155,156044948,-,HAVANA,exon
427554,ENSG00000227709,ENST00000490318,ENST00000490318,single_exon,none,427554,chr3,156175852,156176911,-,HAVANA,exon
427568,ENSG00000272990,ENST00000609190,ENST00000609190,single_exon,none,427568,chr3,156523740,156524247,-,HAVANA,exon
427681,ENSG00000174912,ENST00000481421,METTL15P1-201,single_exon,none,427681,chr3,156713884,156714928,-,HAVANA,exon
427704,ENSG00000230457,ENST00000473864,PA2G4P4-201,single_exon,none,427704,chr3,156809551,156810732,-,HAVANA,exon
427780,ENSG00000241879,ENST00000465138,KLF3P2-201,single_exon,none,427780,chr3,156977558,156977825,+,HAVANA,exon
427783,ENSG00000239706,ENST00000487061,ENST00000487061,single_exon,none,427783,chr3,156988117,156988712,-,HAVANA,exon
427786,ENSG00000222499,ENST00000410567,RN7SKP177-201,single_exon,none,427786,chr3,157017342,157017696,+,ENSEMBL,exon
427856,ENSG00000289409,ENST00000685956,ENST00000685956,single_exon,none,427856,chr3,157088022,157088700,-,HAVANA,exon
427871,ENSG00000241135,ENST00000666301,LINC00881-210,single_exon,none,427871,chr3,157089696,157091505,+,HAVANA,exon
428088,ENSG00000201778,ENST00000364908,Y_RNA.293-201,single_exon,none,428088,chr3,157153548,157153640,+,ENSEMBL,exon
428091,ENSG00000244515,ENST00000488218,KRT18P34-201,single_exon,none,428091,chr3,157162663,157163932,-,HAVANA,exon
428098,ENSG00000222675,ENST00000410743,RNA5SP146-201,single_exon,none,428098,chr3,157173918,157174040,-,ENSEMBL,exon
428143,ENSG00000270981,ENST00000605443,ENST00000605443,single_exon,none,428143,chr3,157230320,157231208,-,HAVANA,exon
428348,ENSG00000251751,ENST00000515942,RN7SKP46-201,single_exon,none,428348,chr3,157930492,157930725,-,ENSEMBL,exon
428642,ENSG00000241723,ENST00000486836,ENST00000486836,single_exon,none,428642,chr3,158275809,158276421,-,HAVANA,exon
428645,ENSG00000277143,ENST00000619891,ENST00000619891,single_exon,none,428645,chr3,158336430,158336777,-,HAVANA,exon
428648,ENSG00000243314,ENST00000484182,ENST00000484182,single_exon,none,428648,chr3,158496561,158496934,+,HAVANA,exon
428673,ENSG00000243150,ENST00000658486,MLF1-DT-203,single_exon,none,428673,chr3,158569710,158571066,-,HAVANA,exon
428853,ENSG00000243165,ENST00000463883,ENST00000463883,single_exon,none,428853,chr3,158626656,158626849,-,HAVANA,exon
428972,ENSG00000272087,ENST00000607624,ENST00000607624,single_exon,none,428972,chr3,158693120,158693768,-,HAVANA,exon
429222,ENSG00000240207,ENST00000607426,ENST00000607426,single_exon,HFE,429222,chr3,158735721,158737905,+,HAVANA,exon
429239,ENSG00000243675,ENST00000460866,RPL35AP9-201,single_exon,none,429239,chr3,158763431,158763753,+,HAVANA,exon
429242,ENSG00000271778,ENST00000606839,ENST00000606839,single_exon,none,429242,chr3,158782547,158783124,+,HAVANA,exon
429245,ENSG00000272247,ENST00000607044,ENST00000607044,single_exon,none,429245,chr3,158801257,158801935,-,HAVANA,exon
429248,ENSG00000232374,ENST00000498175,GPR79-201,single_exon,none,429248,chr3,158841093,158841960,-,HAVANA,exon
429251,ENSG00000279311,ENST00000624004,ENST00000624004,single_exon,none,429251,chr3,158869898,158871821,+,HAVANA,exon
429381,ENSG00000263634,ENST00000583286,MIR3919-201,single_exon,none,429381,chr3,159282646,159282734,+,ENSEMBL,exon
429384,ENSG00000244249,ENST00000462872,ENST00000462872,single_exon,none,429384,chr3,159386756,159387440,-,HAVANA,exon
429393,ENSG00000243116,ENST00000485389,ENST00000485389,single_exon,none,429393,chr3,159721524,159722401,-,HAVANA,exon
429403,ENSG00000252763,ENST00000516954,RNU2-31P-201,single_exon,none,429403,chr3,159808416,159808570,-,ENSEMBL,exon
429590,ENSG00000184100,ENST00000466133,BRD7P2-201,single_exon,none,429590,chr3,160100850,160102793,+,HAVANA,exon
429593,ENSG00000180044,ENST00000326474,C3orf80-201,single_exon,HFE,429593,chr3,160225422,160228213,+,HAVANA,exon
429840,ENSG00000243687,ENST00000489757,RPL35AP10-201,single_exon,none,429840,chr3,160342685,160343015,+,HAVANA,exon
430086,ENSG00000207779,ENST00000385045,MIR15B-201,single_exon,none,430086,chr3,160404588,160404685,+,ENSEMBL,exon
430089,ENSG00000198987,ENST00000362117,MIR16-2-201,single_exon,none,430089,chr3,160404745,160404825,+,ENSEMBL,exon
430124,ENSG00000244009,ENST00000471720,B3GAT3P1-201,single_exon,none,430124,chr3,160452598,160453403,+,HAVANA,exon
430127,ENSG00000238427,ENST00000458819,RNU7-136P-201,single_exon,none,430127,chr3,160472348,160472416,-,ENSEMBL,exon
430277,ENSG00000238741,ENST00000458797,SCARNA7-201,single_exon,none,430277,chr3,160514907,160515236,-,ENSEMBL,exon
430284,ENSG00000229320,ENST00000472924,KRT8P12-202,single_exon,HFE,430284,chr3,160567852,160569248,+,HAVANA,exon
430287,ENSG00000242285,ENST00000490136,RPL6P8-201,single_exon,none,430287,chr3,160584945,160585787,+,HAVANA,exon
430290,ENSG00000179674,ENST00000320767,ARL14-201,single_exon,none,430290,chr3,160677160,160678448,+,HAVANA,exon
430293,ENSG00000207084,ENST00000384356,SNORA72.5-201,single_exon,none,430293,chr3,160696929,160697060,+,ENSEMBL,exon
430296,ENSG00000260572,ENST00000566372,PPM1L-DT-201,single_exon,none,430296,chr3,160753428,160755142,-,HAVANA,exon
430786,ENSG00000271052,ENST00000603703,ENST00000603703,single_exon,none,430786,chr3,161222911,161223147,-,HAVANA,exon
430789,ENSG00000240138,ENST00000467631,EEF1GP4-201,single_exon,none,430789,chr3,161324913,161326219,-,HAVANA,exon
430792,ENSG00000243838,ENST00000495689,PSMC1P7-201,single_exon,none,430792,chr3,161328924,161330238,-,HAVANA,exon
430822,ENSG00000234851,ENST00000471152,RPL23AP42-201,single_exon,none,430822,chr3,161429127,161429597,-,HAVANA,exon
430839,ENSG00000241874,ENST00000465035,TOMM22P6-201,single_exon,none,430839,chr3,162486541,162486949,-,HAVANA,exon
430842,ENSG00000243044,ENST00000475129,ENST00000475129,single_exon,none,430842,chr3,162601627,162601792,+,HAVANA,exon
431352,ENSG00000244571,ENST00000494693,RPS6P4-201,single_exon,none,431352,chr3,163115429,163116186,+,HAVANA,exon
431363,ENSG00000238924,ENST00000459467,RNU7-82P-201,single_exon,none,431363,chr3,163470205,163470266,-,ENSEMBL,exon
431366,ENSG00000214210,ENST00000483240,ENST00000483240,single_exon,none,431366,chr3,164001606,164002465,-,HAVANA,exon
431369,ENSG00000221251,ENST00000408324,MIR1263-201,single_exon,none,431369,chr3,164171471,164171556,-,ENSEMBL,exon
431459,ENSG00000200052,ENST00000363182,Y_RNA.105-201,single_exon,none,431459,chr3,165122713,165122823,-,ENSEMBL,exon
431499,ENSG00000244128,ENST00000688911,LINC01322-241,single_exon,none,431499,chr3,165206948,165207860,+,HAVANA,exon
431808,ENSG00000242178,ENST00000470444,MTND4P17-201,single_exon,none,431808,chr3,166160021,166160370,-,HAVANA,exon
431811,ENSG00000240084,ENST00000435146,MTND4LP10-201,single_exon,none,431811,chr3,166160414,166160704,-,HAVANA,exon
431814,ENSG00000240824,ENST00000474435,MTND3P7-201,single_exon,none,431814,chr3,166160777,166161119,-,HAVANA,exon
431817,ENSG00000242456,ENST00000468910,MTCO3P38-201,single_exon,none,431817,chr3,166161203,166161968,-,HAVANA,exon
431820,ENSG00000242326,ENST00000494226,MCUR1P2-201,single_exon,none,431820,chr3,166181313,166181820,-,HAVANA,exon
431823,ENSG00000244429,ENST00000468627,ENST00000468627,single_exon,none,431823,chr3,166293756,166294353,+,HAVANA,exon
431830,ENSG00000274149,ENST00000618366,ENST00000618366,single_exon,none,431830,chr3,166605188,166605455,+,HAVANA,exon
431833,ENSG00000251759,ENST00000515950,RN7SKP298-201,single_exon,none,431833,chr3,166670029,166670122,-,ENSEMBL,exon
431836,ENSG00000224962,ENST00000466500,PSAT1P4-201,single_exon,none,431836,chr3,166691187,166691712,+,HAVANA,exon
431839,ENSG00000240458,ENST00000485059,ENST00000485059,single_exon,none,431839,chr3,166721458,166721610,+,HAVANA,exon
431842,ENSG00000231516,ENST00000475330,CBX1P5-201,single_exon,none,431842,chr3,166811009,166811567,+,HAVANA,exon
431849,ENSG00000239227,ENST00000494739,ENST00000494739,single_exon,none,431849,chr3,166861944,166862110,+,HAVANA,exon
431852,ENSG00000220343,ENST00000469748,PPIAP74-201,single_exon,none,431852,chr3,167065831,167066320,+,HAVANA,exon
432373,ENSG00000241120,ENST00000463578,HMGN1P8-201,single_exon,none,432373,chr3,167694355,167694642,-,HAVANA,exon
432934,ENSG00000239238,ENST00000459811,MEMO1P3-201,single_exon,none,432934,chr3,167888414,167888715,+,HAVANA,exon
432937,ENSG00000242036,ENST00000471495,ENST00000471495,single_exon,none,432937,chr3,167956311,167956616,-,HAVANA,exon
432940,ENSG00000241203,ENST00000463169,HMGN2P26-201,single_exon,none,432940,chr3,167958744,167959082,+,HAVANA,exon
432981,ENSG00000286994,ENST00000652838,ENST00000652838,single_exon,none,432981,chr3,168094049,168095087,-,HAVANA,exon
433061,ENSG00000222357,ENST00000410425,RNU2-20P-201,single_exon,none,433061,chr3,168475198,168475388,+,ENSEMBL,exon
433064,ENSG00000207717,ENST00000384984,MIR551B-201,single_exon,none,433064,chr3,168551854,168551949,+,ENSEMBL,exon
433067,ENSG00000226765,ENST00000432315,RPSAP33-201,single_exon,none,433067,chr3,168666559,168667423,+,HAVANA,exon
433070,ENSG00000231688,ENST00000425440,RPL21P43-201,single_exon,none,433070,chr3,168858659,168859130,-,HAVANA,exon
433085,ENSG00000272797,ENST00000609121,ENST00000609121,single_exon,none,433085,chr3,168927475,168927919,+,HAVANA,exon
433088,ENSG00000273177,ENST00000609103,ENST00000609103,single_exon,none,433088,chr3,168928169,168928598,+,HAVANA,exon
433320,ENSG00000213178,ENST00000418623,RPL22P1-201,single_exon,none,433320,chr3,169483671,169484080,-,HAVANA,exon
433328,ENSG00000244381,ENST00000484597,SDHDP3-201,single_exon,none,433328,chr3,169709295,169709765,+,HAVANA,exon
433331,ENSG00000206777,ENST00000384050,RNU6-637P-201,single_exon,none,433331,chr3,169720187,169720293,-,ENSEMBL,exon
433334,ENSG00000270141,ENST00000602385,TERC-201,single_exon,none,433334,chr3,169764520,169765060,-,HAVANA,exon
433337,ENSG00000277925,ENST00000363312,Telomerase-vert.1-201,single_exon,none,433337,chr3,169764610,169765047,-,ENSEMBL,exon
433391,ENSG00000269984,ENST00000602342,ENST00000602342,single_exon,none,433391,chr3,169777192,169780334,-,HAVANA,exon
433469,ENSG00000171757,ENST00000602774,LRRC34-212,single_exon,HFE,433469,chr3,169796460,169797038,-,HAVANA,exon
433486,ENSG00000270135,ENST00000602913,ENST00000602913,single_exon,none,433486,chr3,169793495,169793966,+,HAVANA,exon
433489,ENSG00000270096,ENST00000602835,ENST00000602835,single_exon,none,433489,chr3,169794962,169796213,+,HAVANA,exon
433544,ENSG00000240128,ENST00000469825,KRT18P43-201,single_exon,none,433544,chr3,169902980,169904260,-,HAVANA,exon
433578,ENSG00000244039,ENST00000493762,ENST00000493762,single_exon,none,433578,chr3,169931998,169933229,+,HAVANA,exon
433595,ENSG00000244193,ENST00000494834,ENST00000494834,single_exon,none,433595,chr3,169945987,169946754,-,HAVANA,exon
433706,ENSG00000201342,ENST00000364472,RNU4-38P-201,single_exon,none,433706,chr3,170057301,170057429,+,ENSEMBL,exon
433709,ENSG00000242583,ENST00000461049,KMT5AP3-201,single_exon,none,433709,chr3,170062244,170062951,+,HAVANA,exon
433837,ENSG00000199536,ENST00000362666,RNU6-315P-201,single_exon,none,433837,chr3,170149845,170149951,+,ENSEMBL,exon
433886,ENSG00000200118,ENST00000363248,Y_RNA.111-201,single_exon,none,433886,chr3,170244782,170244881,+,ENSEMBL,exon
433996,ENSG00000283474,ENST00000636181,MIR6828-201,single_exon,none,433996,chr3,170423103,170423162,+,ENSEMBL,exon
434037,ENSG00000241416,ENST00000463294,KRT8P13-201,single_exon,none,434037,chr3,170495627,170496636,+,HAVANA,exon
434040,ENSG00000213174,ENST00000398900,ENST00000398900,single_exon,none,434040,chr3,170653846,170654259,-,HAVANA,exon
434058,ENSG00000289233,ENST00000687934,ENST00000687934,single_exon,none,434058,chr3,170729842,170730966,+,HAVANA,exon
434126,ENSG00000240704,ENST00000490941,KLF7P1-201,single_exon,none,434126,chr3,170952850,170953897,-,HAVANA,exon
434129,ENSG00000199488,ENST00000362618,RNU1-70P-201,single_exon,none,434129,chr3,170994870,170995033,-,ENSEMBL,exon
434482,ENSG00000207963,ENST00000385228,MIR569-201,single_exon,none,434482,chr3,171106664,171106759,-,ENSEMBL,exon
434485,ENSG00000222506,ENST00000410574,Y_RNA.604-201,single_exon,none,434485,chr3,171439526,171439627,+,ENSEMBL,exon
434500,ENSG00000279673,ENST00000623631,ENST00000623631,single_exon,none,434500,chr3,171460516,171462256,+,HAVANA,exon
434503,ENSG00000207114,ENST00000384386,RNU6-348P-201,single_exon,none,434503,chr3,171504245,171504351,-,ENSEMBL,exon
434506,ENSG00000234594,ENST00000420943,ENST00000420943,single_exon,none,434506,chr3,171534423,171534615,+,HAVANA,exon
434832,ENSG00000237483,ENST00000452665,RPS27AP8-201,single_exon,none,434832,chr3,172225428,172225872,-,HAVANA,exon
434835,ENSG00000243398,ENST00000484215,RN7SL141P-201,single_exon,none,434835,chr3,172237326,172237591,+,ENSEMBL,exon
434838,ENSG00000279862,ENST00000623304,ENST00000623304,single_exon,none,434838,chr3,172301654,172303052,-,HAVANA,exon
434841,ENSG00000236686,ENST00000454901,BZW1P1-201,single_exon,none,434841,chr3,172425850,172427089,-,HAVANA,exon
434847,ENSG00000121853,ENST00000427970,GHSR-202,single_exon,none,434847,chr3,172447544,172448455,-,HAVANA,exon
434878,ENSG00000224611,ENST00000429380,ENST00000429380,single_exon,none,434878,chr3,172522228,172522444,+,HAVANA,exon
434894,ENSG00000224426,ENST00000451221,SLC31A1P1-201,single_exon,none,434894,chr3,172603440,172604006,-,HAVANA,exon
434929,ENSG00000231384,ENST00000444110,ENST00000444110,single_exon,none,434929,chr3,172680714,172681224,+,HAVANA,exon
434932,ENSG00000252082,ENST00000516273,RNU6-547P-201,single_exon,none,434932,chr3,172703124,172703225,+,ENSEMBL,exon
435133,ENSG00000200355,ENST00000363485,SNORA72.1-201,single_exon,none,435133,chr3,172771277,172771405,-,ENSEMBL,exon
435136,ENSG00000201458,ENST00000364588,RNU4-4P-201,single_exon,none,435136,chr3,172796429,172796558,-,ENSEMBL,exon
435139,ENSG00000227440,ENST00000430660,ATP5MC1P4-201,single_exon,none,435139,chr3,172828736,172829176,-,HAVANA,exon
435142,ENSG00000237501,ENST00000428618,ENST00000428618,single_exon,none,435142,chr3,172830981,172831229,-,HAVANA,exon
435238,ENSG00000237645,ENST00000449016,ENST00000449016,single_exon,none,435238,chr3,173644231,173644711,+,HAVANA,exon
435241,ENSG00000289417,ENST00000691300,ENST00000691300,single_exon,none,435241,chr3,173818896,173820203,+,HAVANA,exon
435254,ENSG00000252982,ENST00000517173,RN7SKP234-201,single_exon,none,435254,chr3,174057641,174057864,+,ENSEMBL,exon
435257,ENSG00000232601,ENST00000411665,ANAPC15P2-201,single_exon,none,435257,chr3,174302944,174303287,-,HAVANA,exon
435260,ENSG00000213169,ENST00000435269,ENST00000435269,single_exon,none,435260,chr3,174377244,174378005,+,HAVANA,exon
435349,ENSG00000253020,ENST00000517211,RN7SKP40-201,single_exon,none,435349,chr3,174631823,174632064,+,ENSEMBL,exon
435352,ENSG00000230497,ENST00000414101,EEF1B2P8-201,single_exon,none,435352,chr3,175059361,175060031,-,HAVANA,exon
435370,ENSG00000264974,ENST00000577469,MIR4789-201,single_exon,none,435370,chr3,175369540,175369621,+,ENSEMBL,exon
435373,ENSG00000199792,ENST00000362922,RNU6-1233P-201,single_exon,none,435373,chr3,175397247,175397348,-,ENSEMBL,exon
435380,ENSG00000201648,ENST00000364778,RNU4-91P-201,single_exon,none,435380,chr3,175609479,175609613,+,ENSEMBL,exon
435383,ENSG00000236241,ENST00000454746,ENST00000454746,single_exon,none,435383,chr3,175675087,175676801,-,HAVANA,exon
435386,ENSG00000214192,ENST00000397758,UBE2V1P2-201,single_exon,none,435386,chr3,175718231,175718670,-,HAVANA,exon
435389,ENSG00000201452,ENST00000364582,RNU6-1317P-201,single_exon,none,435389,chr3,175767558,175767661,+,ENSEMBL,exon
435397,ENSG00000260217,ENST00000562617,ENST00000562617,single_exon,none,435397,chr3,175938929,175941037,-,HAVANA,exon
435400,ENSG00000230362,ENST00000437653,ACTG1P23-201,single_exon,none,435400,chr3,175977497,175978570,-,HAVANA,exon
435403,ENSG00000236357,ENST00000416584,EI24P1-201,single_exon,none,435403,chr3,176068042,176068908,-,HAVANA,exon
435406,ENSG00000271413,ENST00000604457,ENST00000604457,single_exon,none,435406,chr3,176069107,176069252,+,HAVANA,exon
435409,ENSG00000238026,ENST00000419971,ENST00000419971,single_exon,none,435409,chr3,176113702,176114537,-,HAVANA,exon
435463,ENSG00000283333,ENST00000636162,MIR7977-201,single_exon,none,435463,chr3,176515103,176515151,+,ENSEMBL,exon
435466,ENSG00000252302,ENST00000516493,RNA5SP147-201,single_exon,none,435466,chr3,176763233,176763341,+,ENSEMBL,exon
435476,ENSG00000231888,ENST00000434246,MTND5P15-201,single_exon,none,435476,chr3,177010719,177011067,-,HAVANA,exon
435747,ENSG00000201343,ENST00000364473,Y_RNA.242-201,single_exon,none,435747,chr3,177120691,177120800,-,ENSEMBL,exon
435750,ENSG00000200882,ENST00000364012,RNU6-681P-201,single_exon,none,435750,chr3,177126017,177126120,-,ENSEMBL,exon
435757,ENSG00000236893,ENST00000423174,ASS1P7-201,single_exon,none,435757,chr3,177297161,177298386,-,HAVANA,exon
435824,ENSG00000252028,ENST00000516219,RN7SKP52-201,single_exon,none,435824,chr3,177503303,177503552,-,ENSEMBL,exon
435832,ENSG00000200288,ENST00000363418,ENST00000363418,single_exon,none,435832,chr3,177624282,177624409,-,ENSEMBL,exon
435841,ENSG00000277241,ENST00000611065,ENST00000611065,single_exon,none,435841,chr3,177700346,177701072,-,HAVANA,exon
435857,ENSG00000231574,ENST00000702312,LINC02015-205,single_exon,none,435857,chr3,177827783,177828960,+,HAVANA,exon
435885,ENSG00000199858,ENST00000362988,RNU6-1120P-201,single_exon,none,435885,chr3,178007672,178007779,-,ENSEMBL,exon
436039,ENSG00000252336,ENST00000516527,RNA5SP148-201,single_exon,none,436039,chr3,178429197,178429290,-,ENSEMBL,exon
436042,ENSG00000271131,ENST00000603675,PPIAP75-201,single_exon,none,436042,chr3,178493327,178493810,-,HAVANA,exon
436117,ENSG00000200616,ENST00000363746,Y_RNA.170-201,single_exon,none,436117,chr3,179097731,179097840,+,ENSEMBL,exon
436266,ENSG00000201957,ENST00000365087,ENST00000365087,single_exon,none,436266,chr3,179169083,179169210,-,ENSEMBL,exon
436303,ENSG00000240429,ENST00000498774,LRRFIP1P1-201,single_exon,none,436303,chr3,179259028,179261273,-,HAVANA,exon
436371,ENSG00000260743,ENST00000569932,ENST00000569932,single_exon,none,436371,chr3,179340322,179341887,+,HAVANA,exon
436468,ENSG00000289574,ENST00000686574,ENST00000686574,single_exon,none,436468,chr3,179370392,179371971,+,HAVANA,exon
436580,ENSG00000272699,ENST00000608131,ENST00000608131,single_exon,none,436580,chr3,179405448,179405944,+,HAVANA,exon
436583,ENSG00000239255,ENST00000473810,ENST00000473810,single_exon,none,436583,chr3,179452395,179452419,-,HAVANA,exon
436586,ENSG00000181260,ENST00000483867,MTHFD2P7-201,single_exon,none,436586,chr3,179464346,179465328,+,HAVANA,exon
436691,ENSG00000272910,ENST00000608818,ENST00000608818,single_exon,none,436691,chr3,179583262,179583762,-,HAVANA,exon
436694,ENSG00000272660,ENST00000610007,ENST00000610007,single_exon,none,436694,chr3,179584271,179584410,-,HAVANA,exon
436841,ENSG00000239096,ENST00000459278,ENST00000459278,single_exon,none,436841,chr3,179614775,179614878,-,ENSEMBL,exon
436844,ENSG00000243977,ENST00000496255,H3P13-201,single_exon,none,436844,chr3,179649494,179650200,-,HAVANA,exon
437435,ENSG00000201822,ENST00000364952,RNA5SP149-201,single_exon,none,437435,chr3,180161886,180161977,-,ENSEMBL,exon
437438,ENSG00000282327,ENST00000633048,ENST00000633048,single_exon,none,437438,chr3,180201159,180201212,+,HAVANA,exon
437441,ENSG00000213158,ENST00000480688,GAPDHP36-201,single_exon,none,437441,chr3,180212191,180213108,+,HAVANA,exon
437444,ENSG00000239880,ENST00000493579,RALBP1P1-201,single_exon,none,437444,chr3,180323107,180325059,+,HAVANA,exon
437470,ENSG00000201810,ENST00000364940,U8.7-201,single_exon,none,437470,chr3,180542701,180542836,+,ENSEMBL,exon
